Wins,PPG,OPPG,P6,3PT,TO,AST,ConfChamp,Seed,RPG,STL,NumApp,Home,Team 1 Win?
11.0,3.1599999999999966,-10.61999999999999,0.0,-0.9900000000000002,-1.5200000000000014,1.7400000000000002,0.0,0.0,-0.7000000000000028,0.7000000000000002,9.0,1.0,1.0
-14.0,-2.549999999999997,17.0,-1.0,1.63,2.49,-4.16,0.0,0.0,-4.090000000000003,-2.5299999999999994,-4.0,1.0,0.0
14.0,-10.25,-19.210000000000008,0.0,1.75,-0.6900000000000013,-1.3399999999999999,0.0,0.0,-3.450000000000003,0.15000000000000036,4.0,1.0,1.0
-6.0,-0.8800000000000097,6.140000000000001,1.0,-0.79,0.1399999999999988,1.0999999999999996,0.0,0.0,-1.8599999999999994,-1.9900000000000002,25.0,-1.0,0.0
8.0,3.0200000000000102,-2.509999999999991,0.0,-0.5800000000000001,-0.34999999999999964,3.0599999999999987,1.0,5.0,2.4999999999999964,0.8600000000000003,10.0,1.0,1.0
-7.0,-7.909999999999997,-0.5400000000000063,0.0,-5.609999999999999,0.8200000000000003,-1.6099999999999994,1.0,16.0,0.7199999999999989,-0.13999999999999968,9.0,1.0,0.0
1.0,2.6200000000000045,2.3799999999999955,0.0,-0.2599999999999998,-1.3900000000000006,-1.0899999999999999,0.0,0.0,2.3900000000000006,1.2300000000000004,1.0,1.0,1.0
-3.0,-5.239999999999995,-5.730000000000004,0.0,-0.6499999999999995,0.6400000000000006,-0.03999999999999915,-1.0,-16.0,2.0100000000000016,-0.20000000000000018,1.0,-1.0,0.0
10.0,2.950000000000003,-3.469999999999999,0.0,1.009999999999999,-0.3099999999999987,-0.10999999999999943,0.0,0.0,5.450000000000003,0.20000000000000018,0.0,-1.0,1.0
-9.0,-3.3900000000000006,5.849999999999994,0.0,-0.16000000000000014,-0.5,-0.8500000000000014,0.0,0.0,-2.8000000000000007,0.46999999999999975,0.0,-1.0,0.0
-2.0,-0.4099999999999966,1.3400000000000034,0.0,-1.9699999999999998,-0.05999999999999872,-0.22000000000000064,0.0,0.0,2.75,1.5,5.0,1.0,1.0
-3.0,4.109999999999999,7.340000000000003,0.0,0.22000000000000064,0.13000000000000078,1.3599999999999994,0.0,0.0,0.6999999999999993,-2.79,-3.0,1.0,0.0
2.0,15.39,11.180000000000007,1.0,-1.4300000000000006,0.5499999999999989,2.960000000000001,-1.0,0.0,11.830000000000002,-2.879999999999999,15.0,1.0,1.0
-4.0,-5.099999999999994,0.9300000000000068,0.0,-0.7800000000000002,-0.9600000000000009,-4.279999999999999,0.0,0.0,-3.8100000000000023,0.1900000000000004,8.0,1.0,0.0
-1.0,-11.5,-9.930000000000007,0.0,-3.0100000000000007,0.6000000000000014,-1.8600000000000012,-1.0,-7.0,-0.8099999999999952,0.010000000000000675,6.0,1.0,1.0
